Kalimat Asli,Kalimat Dinormalisasi,Level Kata Kasar,Disamarkan
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',di saat semua cowok usaha lacak perhati gue kamu lantas remeh perhati yang gue kasih khusus ke kamu basic kamu cowok bego i i i,1,1
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',rt guna guna siapa yang telat beri tau kamu edan sarap gue gaul dengan cigax jifla cal sama siapa itu licew juga,1,0
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",ai kadang aku pikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkalikali kadang aku rasa tuhan itu tinggal aku sendiri ketika orang tua rencana pisah ketika kakak lebih pilih jadi kristen ketika aku anak ter,0,1
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',guna guna aku itu aku dan ku tau mata sipit tapi lihat dari mana itu aku,0,0
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',guna guna kaum cebong kafir sudah lihat dongok dari awal tambah dungu lagi haha,2,0
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',guna ya bani taplak dan kawan kawan xfo xgf xgb xba xfo xgf xgb xba xfo xgf xgb xba,2,1
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasi pilih kepala daerah zoib aman dan anti hoaks warga dukuh sari jabon,0,1
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,gue baru saja selesai rewatch aldnoah zeroiii paling kampret memang endingnyai z karakter utama cowok kena friendzone brayi xd uniform resource locator,1,1
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",nah admin belanja satu lagi port baik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertua taipan z depan kembar baby amp romantika bank islam senawang,0,1
USER Enak lg klo smbil ngewe',guna enak lagi kalau sambil ngewe,1,0
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",tidak gue punya jari tengah buat kamu belum gue ukur nyali sama bacot kamu xfo xgf xgb xbf,1,1
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,guna guna guna guna banci kaleng malu tidak bisa jawab tanya kami dari z hari lalu nyungsep koe guna uniform resource locator,1,1
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,kalau ajar ekonomi mesti jago privatisasi hati orang aduh ironi guna,0,1
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,aktor huru hara gb prabowo si ingin lengser perintah jokowi nyata,1,1
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',guna bu guru enak jadi jablay atau guru sekolah dasar sih kayak nikmat jadi pecun ini guru,1,1
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",guna guna guna guna guna guna lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing onta gue aku hadis nabi dan itu sahih kafir kayak kamu pasti tolak makanya kamu ahlun nar,1,1
Belakangan ini kok fikiran ampas banget ya',belakang ini kok pikir ampas banget ya,0,0
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',ari sama bek adalah rapi monyet xfo xgf xgb xbg xfo xgf xgb xbg,1,1
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',jadi cowok itu harus gantle kalau tidak gantle itu nama banci i,2,1
USER Slga mnr bom \xf0\x9f\x98\x82',guna alga mnr bom xfo xgf xgb xbz,0,1
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",anjing ya tapi gue jarang ambek takut wkwk gue kan budak cinta,1,1
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',guna kalau kamu noob pasti peluang sakit nya lebih gede sih,0,0
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",guna joko widodo nilai bagai presiden lemah dalam sejarah indonesia hal ini jadi bukan saja karena jokowi tidak milik modal dukung politik yang cukup lain juga karena ketidakmampuan perintah hadap situasi ekonomi tidak,0,1
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,ajar sama camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah zoib damai,0,1
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,bandara udara internasional kertajati bangun oleh gubernur ahmad heryawan tanpa guna anggar dapat dan belanja negara perintah pusat insya allah siap operasi bulan depan,0,1
"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...",siapa gubernur dan presiden rakyat ya kita juga,0,1
Ini si USER kerjaannya delay mulu! Setan!',ini sih guna kerja delay mului setan,2,1
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,turut pintu sorga ada yaitu pintu sorga yang asli dan pintu hati modus banget,0,0
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,rt guna guna guna partai komunis indonesia hanya muncul jika jelang pilih kepala daerah dan pilih presiden karena goreng sampai gosong,2,1
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',guna guna itu adalah sudah neneknenek saya heran sama cebong biasa bohong terus,1,0
"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",guna guna guna guna guna guna guna guna guna islam nusantara produk jil pasar dengan gencar oleh antek xcz xbz jil dan sementara jil anti arab tapi pro asengi dan kata almarhum kh hasyim muzadi,2,1
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',dari habis sahur sampai jam io si bayi sudah nete ax sekarang rasa lemas tak kira xfo xgf xaa xaz,0,1
USER Gak kak emak mah gak demen ama yang sipit wkwk',guna tidak kak emak adalah tidak suka sama yang sipit wkwk,0,0
